Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35
Gesamt;1,08;7,73;26,92;40,85;43,34;32,63;20,84;14,84;8,93;7,5;5,73;4,33;3,85;2,83;2,81;5,04;3,79;3,23;2,91;3,64;4,72;5,81;7,28;9,56;11,54;10,62;10,36;11,73;14,78;15,7;19,14;31,39;50,57;90,01;133,48;151,18;153,62;154,34;148,12;154,33;187,92;210,08;167,08;147,99;174,89;142,97;114,85;93,94;77,63;61,09;63;67,75;70,18;85,72;111,31;139,79;132,38;142,17;170,76;174,05;150,09;121,46;85,19;63,4;35,95;24,88;16,86;8,73;5,79;5,22;6,68;10,91;15,15;18,61;24,52;38,5;59,6;79,57;88,27
90;0,12;1,58;12,39;51,52;142,15;151,02;103,15;70,71;34,51;24,91;17,13;12,51;8,75;5,1;5,59;4,5;3,4;2,92;1,7;3,28;2,07;4,74;3,4;3,04;2,19;3,4;2,92;5,47;8,99;11,42;14,46;22,11;53,1;107,89;177,63;209,22;280,54;371,91;427,44;509,33;656,1;725,47;635,93;604,83;656,34;609,81;478,83;349,19;234,74;157,83;129,15;100,48;74,11;73,87;77,52;80,19;75,94;86,99;96,35;96,59;77,03;65,97;49,57;33,78;19,68;15,67;8,14;5,35;1,21;0,73;2,07;2,55;3,04;7,05;8,02;15,67;16,89;27,58;40,7
85 - 89;0,38;2,43;13,94;47;92,66;90,93;59,09;43,55;20,72;16,75;11,45;7,99;5,44;3,26;3,26;3,01;2,11;1,79;1,28;1,53;2,17;2,62;2,49;3,58;1,47;2,11;1,6;5,44;6,46;7,74;10,55;19,63;36,77;73,6;114,21;146,05;180,97;215,95;261,86;293,9;377,73;443,28;372,17;357,21;387,9;355,35;283,99;212,43;164,92;105,51;93,43;76,93;61,64;60,05;70,98;80,57;76,22;68,49;76,74;75,14;63,18;54,8;39,65;27,69;15,09;10,1;5,76;3,2;2,62;1,66;1,92;2,62;3,2;4,22;5,44;9,4;14,2;21,1;27,5
80 - 84;0,36;2,55;14,21;38,82;59,68;52,12;35,7;24,83;13,72;9,05;7,47;4,67;3,43;2,31;1,85;1,88;1,55;1,49;1,12;1,15;1,55;2,73;2,12;2,46;1,94;1,52;1,82;4,01;5,95;6,44;9,56;14,3;26,01;55,79;86,06;104,18;115,23;132,26;144,89;165,26;214,71;250,59;224,9;208,42;232,74;203,05;161,83;127,28;95,41;69,54;60,53;53,97;47,05;49,72;54,46;64,6;57,46;59,5;67,3;61,44;48,36;41,47;27,96;21,04;11,57;6,44;4,71;1,88;1,21;1,15;1,4;1,46;2,28;3,34;5,28;7,01;8,99;14,57;20,16
75 - 79;0,62;2,92;14,73;36,17;46,13;33,87;22,06;15,17;9,05;7,09;4,51;2,71;2,12;1,5;1,19;1,68;1,5;1,03;1,03;1,14;1,47;1,83;1,42;1,83;1,73;1,78;1,93;3,79;4,64;6,01;7,95;13;23,29;42,02;68,21;78,76;84,69;87,17;89,98;102,26;129,01;153,11;131,64;119,59;134,53;111,24;87,97;72,62;56,7;43,88;44,16;40,53;35,21;36,73;48,86;57,27;56,13;60,67;69,78;64,18;54,66;42,93;29,49;19,97;10,53;6,45;4;1,52;1,29;1,19;1,16;1,29;1,65;2,58;3,15;5,88;7,4;10,6;13,6
70 - 74;0,3;3,97;16,85;36,12;38,43;28,39;17,17;11,51;7,46;5,66;3,48;2,56;2,18;1,28;1,09;1,55;1,09;1,01;1,55;1,69;1,71;2,42;2,48;2,15;2,64;2,5;2,86;4,11;7,1;7,27;9,55;15,92;25,42;49,05;78,44;86,74;89,9;91,26;86,88;94,74;119,4;140,28;121,01;112,35;131,62;99,7;83,1;67,47;56,15;42,92;43,52;44,75;42,3;49,24;64,7;77,3;79,01;85,54;98,28;91,72;78,36;62,74;43,38;29,5;15,87;9,28;5,88;3,05;1,91;1,82;1,61;1,82;2,75;4,57;4,65;8,08;10,7;16,77;19,76
65 - 69;0,51;4,86;18,19;33,9;34,74;22,95;13,52;10,31;5,45;4,3;3;2,51;2,18;1,23;1,05;1,42;1,36;1,28;1,28;1,46;1,73;1,77;2,49;2,26;2,51;2,65;2,61;4,61;5,95;6,28;9,26;14,12;26,38;46,61;73,1;87,69;82,61;85,47;85,1;84,73;106,38;130,77;114,88;102,41;117,97;90,9;74,6;64,35;52,19;39,39;42,02;43,59;41,02;47,38;65,65;80,24;81,6;88,64;101,09;95,22;81,74;67,73;47,73;33,28;15,87;12,22;6,57;2,78;2,12;1,58;1,89;2,35;3,25;4,94;5,82;8,29;12,22;16,69;20,29
60 - 64;1,12;7,6;28,29;44,65;49,21;31,64;19,21;11,92;7,17;5,86;4,23;3,1;2,99;1,88;1,61;2,14;1,88;1,97;1,65;1,95;2,69;2,67;3,61;3,42;4,2;4,3;4,41;6;8,66;9,6;12,04;22,54;37,57;70,08;106,01;121,36;122,61;129,22;124,03;135,42;166,86;195,46;162,56;146,29;164,28;133,72;110,45;90,69;74,63;56,43;57,51;62,22;60,54;72,93;93,97;116,31;113,43;121,73;134,5;137,38;120,38;97,93;66,06;46,96;23,78;15,09;9,88;5,01;2,73;2,74;2,97;4,16;5,21;7,03;8,43;12,59;17,33;26,24;31,8
55 - 59;1,13;11,12;38,41;53,33;54,38;38,64;23,23;15,73;8,89;7,55;5,34;3,92;3,52;2,11;1,97;2,86;2,91;2,32;1,72;2,64;3,58;4,27;4,57;4,82;6,4;5,3;5,85;8,22;11,28;12,85;16,43;27,79;44,56;85,45;133,14;150,88;152,76;152,17;146,56;153,99;193,65;222,61;183,87;164,67;182,98;148,9;123,73;104,03;86,21;66,91;68,32;71,81;68,86;84,75;107,82;134,99;132,78;143,65;158,28;163,66;147,37;116,1;79,07;53,11;28,65;18,67;11,8;5,4;3,64;3,41;3,64;5,45;8,06;8,59;11,67;18,54;26,78;35,58;39,67
50 - 54;1,98;14,59;46,05;59,63;55,12;38,85;23,25;14,69;8,93;7,76;5,6;3,74;3,59;2,24;2,18;4,89;3,83;2,77;2,55;3,1;4,38;5,25;6,2;7,03;8,33;8,02;8,18;9,97;13,38;14,83;17,93;33,81;53,34;95,64;145,55;163,38;163,9;161,6;153,94;157,18;197,53;222,32;178,53;156,86;180,35;146,25;121,87;99,47;79,04;64,25;67,09;70,82;73,68;87,97;112,26;139,32;135,97;148,34;165,58;173,45;151,29;119,55;81,53;56,32;30,68;20,19;12,26;6,56;4,44;3,34;4,26;6,74;9,27;12,21;14,49;24,4;37,69;49,52;54,44
