location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million
Germany,DEU,2020-12-27,24342,24333,9,,,,0.03,0.03,0.0,,
Germany,DEU,2020-12-28,42445,42371,74,,18103,18103,0.05,0.05,0.0,,216
Germany,DEU,2020-12-29,93047,92320,727,,50602,34352,0.11,0.11,0.0,,409
Germany,DEU,2020-12-30,157038,156279,759,,63991,44232,0.19,0.19,0.0,,527
Germany,DEU,2020-12-31,207007,206161,846,,49969,45666,0.25,0.25,0.0,,544
Germany,DEU,2021-01-01,232465,231613,852,,25458,41625,0.28,0.28,0.0,,496
Germany,DEU,2021-01-02,280538,279609,929,,48073,42699,0.33,0.33,0.0,,509
Germany,DEU,2021-01-03,303094,302161,933,,22556,39822,0.36,0.36,0.0,,475
Germany,DEU,2021-01-04,349145,348161,984,,46051,43814,0.42,0.41,0.0,,522
Germany,DEU,2021-01-05,401804,400733,1071,,52659,44108,0.48,0.48,0.0,,526
Germany,DEU,2021-01-06,464944,463785,1159,,63140,43987,0.55,0.55,0.0,,524
Germany,DEU,2021-01-07,519719,518540,1180,,54775,44673,0.62,0.62,0.0,,532
Germany,DEU,2021-01-08,582520,581238,1283,,62801,50008,0.69,0.69,0.0,,596
Germany,DEU,2021-01-09,643211,641785,1427,,60691,51810,0.77,0.76,0.0,,618
Germany,DEU,2021-01-10,679157,677617,1541,,35946,53723,0.81,0.81,0.0,,640
Germany,DEU,2021-01-11,747390,745796,1595,,68233,56892,0.89,0.89,0.0,,678
Germany,DEU,2021-01-12,826315,824657,1659,,78925,60644,0.98,0.98,0.0,,723
Germany,DEU,2021-01-13,938298,936438,1861,,111983,67622,1.12,1.12,0.0,,806
Germany,DEU,2021-01-14,1022263,1020190,2074,,83965,71792,1.22,1.22,0.0,,856
Germany,DEU,2021-01-15,1113965,1110974,2992,,91702,75921,1.33,1.32,0.0,,905
Germany,DEU,2021-01-16,1172014,1167800,4215,,58049,75543,1.4,1.39,0.01,,900
Germany,DEU,2021-01-17,1219752,1198576,21178,,47738,77228,1.45,1.43,0.03,,920
Germany,DEU,2021-01-18,1302568,1265875,36695,,82816,79311,1.55,1.51,0.04,,945
Germany,DEU,2021-01-19,1421977,1349470,72509,,119409,85095,1.69,1.61,0.09,,1014
Germany,DEU,2021-01-20,1554386,1428445,125943,,132409,88013,1.85,1.7,0.15,,1049
Germany,DEU,2021-01-21,1659650,1493021,166630,1,105264,91055,1.98,1.78,0.2,0.0,1085
Germany,DEU,2021-01-22,1761787,1561743,200045,1,102137,92546,2.1,1.86,0.24,0.0,1103
Germany,DEU,2021-01-23,1848561,1602214,246348,1,86774,96650,2.2,1.91,0.29,0.0,1152
Germany,DEU,2021-01-24,1896235,1627894,268342,1,47674,96640,2.26,1.94,0.32,0.0,1152
Germany,DEU,2021-01-25,1986996,1680138,306859,1,90761,97775,2.37,2.0,0.37,0.0,1165
Germany,DEU,2021-01-26,2085060,1730773,354288,1,98064,94726,2.49,2.06,0.42,0.0,1129
Germany,DEU,2021-01-27,2194185,1781702,412485,1,109125,91400,2.62,2.12,0.49,0.0,1089
Germany,DEU,2021-01-28,2286508,1828507,458003,1,92323,89551,2.73,2.18,0.55,0.0,1067
Germany,DEU,2021-01-29,2393974,1878323,515653,1,107466,90312,2.85,2.24,0.61,0.0,1076
Germany,DEU,2021-01-30,2481810,1912918,568894,1,87836,90464,2.96,2.28,0.68,0.0,1078
Germany,DEU,2021-01-31,2538876,1938671,600207,1,57066,91806,3.03,2.31,0.72,0.0,1094
Germany,DEU,2021-02-01,2658814,1996919,661896,2,119938,95974,3.17,2.38,0.79,0.0,1144
Germany,DEU,2021-02-02,2791375,2062430,728946,2,132561,100902,3.33,2.46,0.87,0.0,1203
Germany,DEU,2021-02-03,2954056,2126987,827070,2,162681,108553,3.52,2.54,0.99,0.0,1294
Germany,DEU,2021-02-04,3088332,2189044,899288,3,134276,114546,3.68,2.61,1.07,0.0,1365
Germany,DEU,2021-02-05,3235608,2258397,977211,3,147276,120233,3.86,2.69,1.16,0.0,1433
Germany,DEU,2021-02-06,3329578,2303989,1025589,3,93970,121110,3.97,2.75,1.22,0.0,1443
Germany,DEU,2021-02-07,3383055,2332254,1050802,3,53477,120597,4.03,2.78,1.25,0.0,1437
Germany,DEU,2021-02-08,3492289,2385278,1107013,3,109234,119068,4.16,2.84,1.32,0.0,1419
Germany,DEU,2021-02-09,3626533,2445499,1181035,4,134244,119308,4.32,2.91,1.41,0.0,1422
Germany,DEU,2021-02-10,3781675,2523256,1258420,4,155142,118231,4.51,3.01,1.5,0.0,1409
Germany,DEU,2021-02-11,3925810,2598787,1327026,4,144135,119640,4.68,3.1,1.58,0.0,1426
Germany,DEU,2021-02-12,4081608,2679025,1402589,4,155798,120857,4.86,3.19,1.67,0.0,1440
Germany,DEU,2021-02-13,4189295,2741069,1448233,4,107687,122817,4.99,3.27,1.73,0.0,1464
Germany,DEU,2021-02-14,4254612,2780694,1473926,4,65317,124508,5.07,3.31,1.76,0.0,1484
Germany,DEU,2021-02-15,4380219,2850862,1529376,4,125607,126847,5.22,3.4,1.82,0.0,1512
Germany,DEU,2021-02-16,4514813,2929211,1585622,4,134594,126897,5.38,3.49,1.89,0.0,1512
Germany,DEU,2021-02-17,4666459,3024600,1641880,4,151646,126398,5.56,3.6,1.96,0.0,1507
Germany,DEU,2021-02-18,4811192,3116128,1695089,5,144733,126483,5.73,3.71,2.02,0.0,1508
Germany,DEU,2021-02-19,4970106,3219262,1750870,5,158914,126928,5.92,3.84,2.09,0.0,1513
